Ticker,CIK
AAPL,320193
MSFT,789019
GOOGL,1652044
AMZN,1018724
META,1326801
TSLA,1318605
BRK-B,1067983
JNJ,200406
V,1403161
WMT,104169
NVDA,1045810
PG,80424
MA,1141391
DIS,1001039
PYPL,1633917
ADBE,796343
NFLX,1065280
INTC,50863
PFE,78003
CSCO,858877
CMCSA,1166691
PEP,77476
COST,909832
NKE,320187
MRK,310158
KO,21344
T,732717
HD,354950
VZ,732712
XOM,34088
CVX,93410
ABT,1800
LLY,59478
ORCL,1341439
BMY,14272
MCD,63908
NEE,753308
HON,773840
IBM,51143
AMD,2488
SBUX,829224
AMGN,318154
CAT,18230
UPS,1090727
UNH,731766
TMO,97745
QCOM,804328
SPGI,64040
TXN,97476
RTX,101829
GE,40545
MO,764180
BKNG,1075531
SCHW,316709
AXP,4962
ISRG,1035267
RTX,101829
SPGI,64040
LIN,1707925
MMM,66740
CVS,64803
PLD,1045609
GS,886982
C,831001
DE,315189
EL,1001250
FIS,1136893
GILD,882095
BLK,1364742
PNC,713676
CL,21665
AMT,1053507
MU,723125
